Trade ID,Open Date,Stock,Side,Shares,Entry,Target,Stop Loss,Hold Days,Status,Result,Exit Date,Exit Price,Return %,PnL ₹,Notes,Source
EASTSILK|20260922094959|BUY,2026-09-22 09:49:59,EASTSILK,BUY,10,62.15,70.87,55.0,15,OPEN,PENDING,,,10.22,63.5,,
TIRUPATIFL|20260922152055|BUY,2026-09-22 15:20:55,TIRUPATIFL,BUY,10,74.61,80.0,0.0,15,OPEN,PENDING,,,5.0,37.3,,
BHARTIHEXA|20260923101207|BUY,2026-09-23 10:12:07,BHARTIHEXA,BUY,10,1539.8,1607.0,1470.0,15,OPEN,PENDING,,,-0.12,-19.0,,
OLAELEC|20260923101317|BUY,2026-09-23 10:13:17,OLAELEC,BUY,10,41.87,50.0,35.0,15,OPEN,PENDING,,,-0.02,-0.1,,
,2026-09-23 10:34:31,EKC,BUY,64,111.02,117.47,103.32,15,OPEN,PENDING,,,,,,BUY|all_usc_EKC
